Item,Country,Brand,Tier,Stage_3F,OSA_ISA
NL- IF - OSA,NL,NC,PN,IF,OSA
NL- FO - OSA,NL,NC,PN,FO,OSA
NL - YCF - OSA,NL,NC,PN,GUM,OSA
NL - HA - IF -OSA,NL,NC,PN,GUM,OSA
NL- HA - FO - OSA,NL,NC,PN,GUM,OSA
NL- IF - ISA,NL,NC,PN,IF,ISA
NL- FO - ISA,NL,NC,PN,FO,ISA
NL - YCF - ISA,NL,NC,PN,GUM,ISA
UK -  Aptamil Pronutra IF,UK,APT,PN,IF,OSA
UK - Aptamil Pronutra FO,UK,APT,PN,FO,OSA
UK - Aptamil Pronutra YCF,UK,APT,PN,GUM,OSA
UK - Aptamil Profutura IF,UK,APT,PF,IF,OSA
UK - Aptamil Profutura FO,UK,APT,PF,FO,OSA
UK - Aptamil Profutura YCF,UK,APT,PF,GUM,OSA
UK - C&G IF,UK,C&G,C&G,IF,OSA
UK - C&G FO,UK,C&G,C&G,FO,OSA
UK - C&G YCF,UK,C&G,C&G,GUM,OSA
GE - PRONUTRA - IF - ISA,DE,APT,PN,IF,ISA
GE - PRONUTRA - FO - ISA,DE,APT,PN,FO,ISA
GE - PRONUTRA - YCF - ISA,DE,APT,PN,GUM,ISA
GE - PROFUTURA- IF- ISA,DE,APT,PF,IF,ISA
GE - PROFUTURA - FO - ISA,DE,APT,PF,FO,ISA
GE - HA - IF - ISA,DE,TN,TN,IF,ISA
GE - HA - FO - ISA,DE,TN,TN,FO,ISA
ANZ - PRONUTRA - IF,ANZ,APT,PN,IF,OSA
ANZ - PRONUTRA - FO,ANZ,APT,PN,FO,OSA
ANZ - PRONUTRA - STAGE 3,ANZ,APT,PN,GUM,OSA
ANZ - PRONUTRA - STAGE 4,ANZ,APT,PN,GUM,OSA
ANZ - Profutura - IF,ANZ,APT,PF,IF,OSA
ANZ - Profutura - FO,ANZ,APT,PF,FO,OSA
ANZ - Profutura Stage 3,ANZ,APT,PF,GUM,OSA
ANZ - Profutura Stage 4,ANZ,APT,PF,GUM,OSA
ANZ Karicare Goat Stage 1,ANZ,KC,GT,,OSA
ANZ Karicare Goat Stage 2,ANZ,KC,GT,,OSA
ANZ Karicare Goat Stage 3,ANZ,KC,GT,,OSA
ANZ Aptamil Gold HA,ANZ,TN,TN,,OSA
ANZ Aptamil Allerpro Stage 1,ANZ,TN,TN,,OSA
ANZ Aptamil Allerpro Stage 2,ANZ,TN,TN,,OSA
