SKU_NO,SKU_NO_new,SKU
TGNP1RG0900TNCN02,101519,NP1
TGNP2RG0900TNCN02,101520,NP2
TGNP3RG0900TNCN02,101521,NP3
TGNP4RG0900TNCN02,101522,NP4
TGNR1RG0900EZCN02,99691,NC1
TGNR2RG0900EZCN02,99692,NC2
TGNR3RG0800EZCN02,99693,NC3
TGNR4RG0800EZCN02,99694,NC4
TGAT1RG0900TNCN01,108668,AP1
TGAT2RG0900TNCN01,108666,AP2
TGAT3RG0900TNCN01,108667,AP3
TGAT3RG0900TNCN02,118435,AP3
TGAT4RG0900TNCN01,108638,AP4
TGAT1RG0380TNCN01,125499,AP1/380
TGNR1RG0900EZCN04,129980,NC1
TGNR2RG0900EZCN04,129972,NC2
TGNR3RG0800EZCN04,129981,NC3
TGNR4RG0800EZCN04,129974,NC4
TGAT1RG0900TNCN02,129973,AP1
TGAT2RG0900TNCN02,130021,AP2
TGAT3RG0900TNCN03,130022,AP3
TGAT4RG0900TNCN02,130023,AP4
TGAT1RG0380TNCN02,130020,AP1/380
TGAP1RG0800EZCN02,100489,AC1
TGAP2RG0800EZCN02,100487,AC2
TGAP3RG0800EZCN02,100484,AC3
TGAP4RG0800EZCN02,100482,AC4
TGAP1RG0800EZCN03,122340,AC1
TGAP2RG0800EZCN03,122341,AC2
TGAP3RG0800EZCN03,116337,AC3
TGAP4RG0800EZCN03,122342,AC4
TGAP1RG0800EZCN05,129989,AC1
TGAP2RG0800EZCN05,130006,AC2
TGAP3RG0800EZCN05,130008,AC3
TGAP4RG0800EZCN04,130009,AC4
TGCSTRG0800TNCN,122410,
TGCSCRG0800TNCN,122129,
TGAP1RG0400EZCN01,128639,AC1/ 400
TGNR1RG0900EZCN03,116415,NC1
TGNR2RG0900EZCN03,116434,NC2
TGNR3RG0800EZCN03,116417,NC3
TGNR4RG0800EZCN03,116418,NC4
TGAC0RG0800EZFTZ01,124122,
TGAC1RG0800EZFTZ01,124125,
TGAC2RG0800EZFTZ01,124127,
TGAC3RG0800EZFTZ01,124128,
TGAC0RG0800EZFTZ02,128333,
TGAC1RG0800EZFTZ02,128330,
TGAC2RG0800EZFTZ02,128331,
TGAC3RG0800EZFTZ02,128332,
TGAC0RG0800JWFTZ01,109649,
TGAC1RG0800JWFTZ01,109650,
TGAC2RG0800JWFTZ01,109661,
TGAC3RG0800JWFTZ01,109663,
TGAC4RG0800JWFTZ01,115865,
TGAC5RG0800JWFTZ01,115867,
TGAU0RG0800JWFTZ01,123295,
TGAU1RG0800JWFTZ01,123296,
TGAU2RG0800JWFTZ01,123297,
TGNR1RG0800JWFTZ01,112402,
TGNR2RG0800JWFTZ01,112403,
TGNR3RG0800JWFTZ01,112404,
TGNR4RG0800JWFTZ01,112405,
TGNR5RG0800JWFTZ01,112406,
TGAP1RG0900EZFTZ01,123548,
TGAP2RG0900EZFTZ01,123553,
TGAP3RG0900EZFTZ01,123557,
TGAP4RG0800EZFTZ01,123554,
TGCG1RG0900EZFTZ01,123549,
TGCG2RG0900EZFTZ01,123550,
TGCG3RG0900EZFTZ01,123556,
TGCG4RG0800EZFTZ01,123552,
TGKG1RG0900TNFTZ01,109371,
TGKG2RG0900TNFTZ01,109372,
TGKG3VN0900TNFTZ01,109373,
TGKG4VN0900TNFTZ01,109369,
TGAT1RG0900TNFTZ01,109365,
TGAT2RG0900TNFTZ01,109366,
TGAT3RG0900TNFTZ01,109367,
TGAT4RG0900TNFTZ01,109368,
TGCG1RG900TINCBE01,109376,
TGCG2RG900TINCBE01,109377,
TGCG3RG900TINCBE01,111629,
TGCG4RG900TINCBE01,111630,
